Article,Date
"The S&P 500 closed below its 50-day moving average on Wednesday, its first time under that widely watched indicator since Election Day, which has some chart analysts worried the bullish trend put in place since President Donald Trump's win is reversing.

The historical data shows there is reason for concern.

S&P 500, 6 months with 50-day moving average:

Using hedge fund analystics tool Kensho, CNBC analyzed 245 occasions when the S&P 500 closed below its 50-day moving average since 1990. A week later, the stock benchmark was lower by 1 percent, on average, while bonds and gold were in the green.

A month later, the results were much of the same, according to Kensho, with the S&P 500 lower and gold and bonds higher.

Looking a little further out, things start to recover. The S&P 500 is up by 1.14 percent, on average, six months after a 50-day negative breach.

Bottom line: History shows Wednesday's weak close is cause for short-term concern.

Disclosure: NBCUniversal, parent of CNBC, is a minority investor in Kensho.",2017-04-13
"HP shares climbed on Wednesday after the stock was upgraded to ""buy"" by Citi analyst Jim Suva, who expects the company to continue to gain PC market share.

The stock was the top mover in the S&P 500 on Wednesday morning, with shares closing up more than 2 percent.

HP is moving toward more premium products, including hybrids and gaming, that could drive it to make gains as the PC market is revived, Suva wrote.

Citi's upgrade comes on the heels of new data from IDC, which said that global shipments of PCs increased for the first time on an annualized basis since the first quarter of 2012. HP got the top market share for the first times since the beginning of 2013, with 13.1 million shipments, according to IDC.

Positive trends in the U.S. economy — including strong employment data and high consumer confidence — signal that demand may continue, Suva wrote. The unemployment rate fell to a 10-year low of 4.5 percent in March, the Bureau of Labor Statistics said last week, though job creation fell short of estimates, as did a measure of consumer sentiment.

UBS analyst Steven Milunovich wrote on Wednesday that he's bullish on the stock, noting the PC revival and a stabilization in the printer market.

""We think investor skepticism provides fuel for further gains,"" Milunovich wrote.

— CNBC's Todd Haselton contributed to this report.",2017-04-12
"Secretary of State Rex Tillerson called on Russia today to realign with the U.S. and break ties with Syrian President Bashar Assad. Tillerson attended the G-7 meeting in Italy before flying to Moscow. (CNBC)

A senior American official said the U.S. has concluded that Russia knew in advance of Syria's chemical weapons attack last week. The official said a Russian-made fighter jet later bombed the area in a cover-up. (AP)

In an escalation of defiance over its missile program, North Korea is vowing respond to any military moves that might follow the U.S. decision to send an aircraft carrier battle group to waters off the Korean Peninsula. (AP)

President Donald Trump's economic advisory council, led by Blackstone's Stephen Schwarzman, is back to the White House today, with top executives from Wal-Mart (WMT), General Motors (GM), and Tesla (TSLA) expected to attend.

Tesla shares were higher in premarket trading after briefly passing GM as the largest U.S. automaker by market value. Tesla stock also hit an all-time high in Monday's session following an analyst upgrade. (CNBC)

Another Apple supplier is seeing its stock tank amid fears of losing a key contract. Anglo-German manufacturer Dialog Semiconductor fell 20 percent this morning after a financial analyst warned Apple may be working on its own battery-saving chip for the iPhone. (CNBC)

Less than three months after being sued by Apple (AAPL) for $1 billion, chipmaker Qualcomm (QCOM) is countersuing the iPhone maker in a dispute over licensing fees for mobile technology. (CNBC)

Shares of RetailMeNot were soaring nearly 50 percent in premarket trading after the online coupon firm agreed to be purchased by Harland Clarke for $555 million. RetailMeNot will become a privately held company. (PR Newswire)

Azul (AZUL) debuts today, after Brazil's third-largest airline raised $645 million in a dual IPO in Sao Paulo and New York. Azul was started in 2008 by JetBlue founder David Neeleman. (Reuters)

The report from Wells Fargo's board and executive compensation clawbacks are not the end of changes following the sales scandal, CEO Tim Sloan told CNBC. ""We have much more work to do in terms of rebuilding trust,"" he said.

Alabama Gov. Robert Bentley has resigned in the wake of a sex scandal that staggered the state, brought him to the brink of impeachment, and prompted a series of criminal investigations. (NY Times)",2017-04-11
"There's been a lot of excitement about the U.S. earnings season, and with good reason: S&P 500 earnings are expected to grow roughly 10 percent, led by roughly 15 percent gains in the two largest sectors, Technology and Financials.

But the slow improvement in the global economy has analysts even more bullish on investing outside the U.S. Goldman Sachs is anticipating first-quarter earnings will be up 17 percent for the STOXX Europe 600, which represents a basket of stocks across 17 European countries, and 16 percent for Japanese stocks. Even Emerging Markets are seeing an improving earnings picture.

The picture is the same for the full year: across the board, overseas earnings estimates look better than the U.S.:

Global earnings 2017

(estimates)



S&P 500: up 10.0 percent

Japan: up 12.1 percent

Europe: up 14.4 percent

Emerging Markets: up 19.3 percent Source: JPMorgan Cazenove

Investors have responded. Overseas markets have either performed in-line or outperformed U.S. markets year-to-date:

Global markets 2017

(YTD)



S&P 500: up 5.5 percent

Europe (STOXX 600): up 5.5 percent

Phillipines: up 11.3 percent

Indonesia: up 6.5 percent

Japan (Topix): down 2 percent Source: JPMorgan Cazenove

The exception to the outperformance--Japan--has had problems because of a stronger yen.

What's behind the spurt in earnings?

Economic growth is picking up overseas. While U.S. GDP is improving, expected to go from 1.6 percent to 2.1 percent in 2017, GDP growth is also improving in the Eurozone (2 percent in 2017), Japan (1.7 percent, a notable improvement over the anemic 1 percent growth in 2016), and Emerging markets (4.6 percent), according to JPMorgan Cazenove. Corporate pricing power has improved. Oil, for example, has bottomed. Oil prices are considered proxies for global growth; global earnings momentum is also strongly linked to commodity prices in general, which began rising last year.

Stronger growth and better pricing power alone will be a boost to corporate margins. But there are other positive factors:

Stocks are cheaper overseas. Europe is trading at 15.3x 2017 earnings, well south of the roughly 18.4 multiple the S&P 500 sports. So is Japan (15.6), and Emerging Markets (12.5), according to JPMorgan Cazenove. The U.S. business cycle is in a late stage, but not so overseas. Political risk may be fading in Europe. That risk--first from the Netherlands election and still from the upcoming French election--held European equities back in January and February but those concerns have faded recently, as Goldman Sachs recently noted, pointing out that the Europe-over-the-U.S.-trade ""has further to go as Europe tends to outperform when global growth is strong and political risk is fading."" Government bond yields bottomed in Europe in September, and in January for Japan. This has been supportive for banks. A more stable dollar has been a big help to emerging markets.

What could go wrong?



Currency fluctuations are big issues when dealing with global stock flows. Japanese stocks have suffered due to a stronger yen. The biggest risk is a sudden surge in the dollar, which would hurt the reflation trade and likely lead to more capital outflow from Emerging Markets. The weaker euro has recently acted as a help for earnings in Europe, though it's doubtful that will continue.",2017-04-10
"Morgan Stanley says a 30% surge in stocks could be ahead Monday, 10 Apr 2017 | 12:30 PM ET | 00:48

Morgan Stanley has a new chief U.S. equity strategist in town, and he's uber-bullish on stocks in 2017.

""The cyclical upturn that began a year ago has less to do with President Trump and more to do with the global business cycle,"" with Trump simply ""turbocharging"" things, Morgan Stanley's Michael Wilson wrote in a Monday note to clients.

""The end of the cycle is often the best,"" he added. ""Think 1999 or 2006-07. In a low-return world, investors cannot afford to miss it.""

Wilson has laid out a ""bull case"" for stocks that calls for the S&P 500 index to reach 3,000 points within 12 months, representing a gain of almost 30 percent. His ""base case"" scenario calls for gains of nearly 15 percent, with the index hitting 2,700.",2017-04-10
"President Donald Trump's firing of Tomahawk missiles on a Syrian air base should lift the price of defense stocks past the market benchmark next week, according to a CNBC analysis of historic data.

Using hedge fund analytics tool Kensho, we looked at the performance of defense stocks and the S&P 500 a week following significant developments in the Syrian civil war. There have been more than 200 major events during the conflict in the last six years, including those involving the U.S., Russia, Turkey, the U.K. and France.

Here is the performance of the iShares U.S. Aerospace & Defense ETF, major defense shares and the S&P 500 a week after such events:

The major defense stocks, including Raytheon, which makes the Tomahawk missiles used in Thursday's airstrikes, all beat the market during the week following an escalation of the conflict, on average.

Oil and Treasurys also beat the S&P 500 in the week following an event, yet gold underperforms, according to Kensho.

CNBC's parent NBCUniversal is a minority investor in Kensho.",2017-04-07
"The Federal Reserve March meeting minutes indicated central bank officials are worried the stock market's multiple has become a bit too rich.

""Broad U.S. equity price indexes increased over the intermeeting period, and some measures of valuations, such as price-to-earnings ratios, rose further above historical norms,"" the minutes said. ""Some participants viewed equity prices as quite high relative to standard valuation measures.""

If the Fed is right and the P/E ratio is in for a contraction, it's doesn't necessarily mean the end of the bull market, or even that stocks will decline, history shows. An analysis using hedge fund analytics tool Kensho found the S&P 500 can still manage to rise during annual periods of multiple compression as earnings (the denominator in the P/E ratio) catch up.

The chart below shows the median return of the S&P 500 during years in the last two decades when the index's trailing P/E declined. The compression happened during nine of those years (2000, 2002, 2004, 2005, 2007, 2008, 2010, 2011 and 2014). We used a median return because the 40 percent loss in 2008 due to the market price plunge after the financial crisis skews the results. Also included in the chart are the four best sector performers during those years, ranked by median return.",2017-04-06
"It looks like stocks and crude are starting to pay closer attention to each other.

In the past few months, as stocks surged while crude stagnated and then slumped, the commodity and the measure of large-cap stocks actually began to experience an inverse relationship. That is, on a day when oil settled lower, stocks were more likely to rise than to fall.

Since then, the pair has begun to enjoy a closer relationship. Over the past 60 sessions, WTI crude oil and the S&P 500 have seen a correlation of about 0.28. While this hardly suggests that they are identical twins, it does imply that oil's daily move is now more relevant to equities.

""The dollar has come under some pressure of late and this pushes up oil as well as the U.S. dollar value of offshore earnings,"" Max Wolff, market strategist at 55 Capital, wrote to CNBC. ""This generally increases correlation.""

In other words, currency moves are driving both stocks and oil.

But for a truly brotherly relationship between the S&P and crude, one must go back to early 2016, when oil's fall into the mid-$20s, and subsequent rebound, led it to be a primary focus for stock investors.

Looking forward, traders say oil is likely to remain in its recent wide range.

Most traders ""can't see any reason for it to go any higher. And technically, between $48 and $54 seems to be a very comfortable spot for crude oil right here,"" Harvest Volatility Management portfolio Manager Dennis Davitt said Tuesday on CNBC's ""Trading Nation.""

From a fundamental perspective U.S. producers have become so efficient, ""they can operate at $50 a barrel, and they will just keep flooding the market as long as the price keeps staying at these levels.""

Crude oil ticked higher on Thursday morning, after settling on Wednesday at $51.15.",2017-04-06
"Trump and China's Xi may say little publicly about North Korea after they talk today, but China has the leverage to quietly exert pressure on Pyongyang if it chooses, according to geopolitical experts. (CNBC)

Trump spoke by phone with Japanese Prime Minister Shinzo Abe about North Korea's launch of a ballistic missile, among other regional issues. Trump and Abe met at Mar-a-Lago in February. (Reuters)

Vice President Mike Pence said, ""all options are on the table"" for a U.S. response to a poison gas attack in Syria, which the White House blames on the Syrian government. (Reuters)

White House chief strategist Steve Bannon has been removed from his seat on the National Security Council, reversing one of the most controversial decisions of the young Trump administration. (CNBC)

Senate Republican leaders are poised to move today to change the upper chamber's filibuster rules so Democrats can no longer block the confirmation of Supreme Court nominee Neil Gorsuch. (USA Today)

The House is set to leave town this morning for a two-week break without reaching an agreement on health care, a blow to Trump and GOP leaders who tried to revive their failed Obamacare replacement bill. (NBC News)

Amazon (AMZN) founder Jeff Bezos, the world's second-richest person, plans to sell $1 billion worth of stock in the e-commerce giant every year to help fund his private spaceflight company Blue Origin. (Space News)

Uber is refuting a New York Times article that claimed faster pick-up times for riders means more idle drivers. The Times also detailed psychological techniques used at Uber to keep drivers on the road.

Facebook (FB) is trying to halt the spread of so-called revenge porn on its services just weeks after a nude-photo scandal involving the Marines surfaced on the social media site. (WSJ)

MGM Holdings (MGMB) will buy the 81 percent of the Epix cable channel that it doesn't already own from partners Viacom (VIAB) and Lions Gate (LGF) for about $1 billion. (CNBC)

Unilever (UL) has vowed to reward shareholders with a multi-billion dollar transformation in the wake of a corporate review sparked by a takeover approach from U.S. rival Kraft Heinz (KHC). (CNBC)

General Electric (GE) is weighing a sale of its consumer lighting business, which for decades defined the company following its co-founding 125 years ago by Thomas Edison. (WSJ)

BlackRock (BLK) has nominated Cisco Systems (CSCO) leader Chuck Robbins as a director, making him the first technology chief executive on the board of the world's largest money manager. (WSJ)

Theranos founder Elizabeth Holmes owes a debt of about $25 million to her embattled blood-testing start-up once valued at $5 billion. Theranos has the power to absolve her from the debt. (WSJ)

PepsiCo (PEP) pulled its controversial Kendall Jenner ad, saying ""clearly we missed the mark."" But the company still faces an uphill struggle to recover from its marketing misstep, marketing experts said. (CNBC)",2017-04-06
"After the most dramatic reversal in 14 months, stocks could face another next big test Thursday.

""The real test is whether the market will fall below and close below the 50-day moving average, which it hasn't done since Election Day. That would be a signal the complexion has changed, and that would breed more caution,"" said Scott Redler, partner with T3Live.com.

The 50-day moving average for the S&P 500 is 2,344. It is viewed as a support level, based on the average closing price over the last 50 sessions. Breaking beneath that level could be viewed as a negative for stock prices.

The S&P 500, after rallying above 2,370, a key resistance level, reversed course sharply Wednesday and closed down 7 at 2,352.

Stocks rallied early in the day, but sold off in the afternoon, after the Fed spooked the market with comments on equities being highly priced. Shortly after the Fed released its 2 p.m. minutes, House Speaker Paul Ryan was quoted as saying that tax reform could take longer than the overhaul of health care. Ironically, the Fed had noted that the market may have been boosted by expectations for corporate tax reform.

Art Cashin, director of floor operations at UBS, said the release of the minutes from the Fed's last meeting was a turning point for stocks, which he said also obsessed over Fed comments that it could begin to wind down its balance sheet this year. That is a move that bond strategists say could push interest rates higher.

Redler, who follows the market's short-term technicals, said the dramatic reversal in the S&P 500 Wednesday may be a forewarning of more turbulence to come.

""When you break key levels and hold them, it's a constructive signal for the bulls. If you push above levels and it fails, it could give you some clues that there's more weakness to come. The banks and small caps were giving clues even before the Fed said the market is quite high,"" said Redler.

Redler said the push above 2,365/2,370 drew in traders who were confident the market gains would hold, and it also flushed out shorts. But the reversal trapped the investors with new positions, and the selling became more powerful as they bailed out.

""Today was your day to take notice,"" Redler said.

The Dow was down 41 at 20,648, and the Nasdaq was down 34 at 5,864. The Dow had been up more than 200 points earlier in the session.

Watch: Tax worries, Fed spook stocks",2017-04-05
