Date,Neg_A_Sentiment,Neut_A_Sentiment,Number_of_Articles,Pos_A_Sentiment,Neg_T_Sentiment,Neut_T_Sentiment,Number_of_Tweets,Pos_T_Sentiment,Prediction,Actual
2017-03-14,0,0,0,1,0.2316384181,0.4915254237,177,0.2768361582,0,1
2017-03-15,0,0,0,1,0.1125827815,0.582781457,151,0.3046357616,0,0
2017-03-16,0,0,0,1,0.1774193548,0.4435483871,124,0.3790322581,1,1
2017-03-17,0,0,0,1,0.2,0.4,85,0.4,0,1
2017-03-20,0,0,0,1,0.1747572816,0.5631067961,103,0.2621359223,0,1
2017-03-21,0,0,0,1,0.1428571429,0.5238095238,63,0.3333333333,1,1
2017-03-22,0,0,0,1,0,0,0,0,1,0
2017-03-23,0,0,0,1,0,0,0,0,1,1
2017-03-24,0,0,0,1,0,0,0,0,1,1
2017-03-27,0,0,0,1,0,0,0,0,0,1
2017-03-28,0,0,0,1,0,0,0,0,1,0
2017-03-29,0,0,0,1,0,0,0,0,1,0
2017-03-30,0,0,0,1,0,0,0,0,0,0
2017-03-31,0,0,0,1,0.1,0.5,50,0.4,0,1
2017-04-03,0,0,6,1,0.2061068702,0.4885496183,131,0.3053435115,0,1
2017-04-04,0,0,3,1,0.141509434,0.5283018868,106,0.3301886792,1,0
2017-04-05,0,0,3,1,0.0895522388,0.6417910448,134,0.2686567164,1,1
2017-04-06,0.125,0,8,0.875,0.1940298507,0.5820895522,134,0.223880597,0,0
2017-04-07,0.2,0,5,0.8,0.1588785047,0.6074766355,107,0.2336448598,1,1
2017-04-10,0,0,3,1,0.17,0.55,100,0.28,0,0
2017-04-11,0,0,4,1,0.246031746,0.4761904762,126,0.2777777778,0,1
2017-04-12,0,0,3,1,0.1727272727,0.6181818182,110,0.2090909091,0,1
2017-04-13,0.25,0,8,0.75,0.1538461538,0.5897435897,78,0.2564102564,1,1
