text,date
"#SP500 Index #ETF - #SPY : 
Testing Daily Support Trendline (red) + below 20 DMA  
$SPY #Trading #investing #SP500… https://t.co/7Zb9748eMl",21/03/2017 14:42
"All the three major #US indexes opened higher, with the #Nasdaq Composite hitting yet another record high, lifted by #Apple. #SP500 #DOW",21/03/2017 14:41
#SP500 And people think it is a good idea to chase this market higher and is risk free??? https://t.co/gu8tq9Mv4w,21/03/2017 14:38
#SP500 hit #Gap and 200 MA (green) on 1 Hour Time Frame Chart https://t.co/vlnhlLSrlO,21/03/2017 14:37
$ES_F SP500 getting closer to testing its 200day moving average for first time since January 31st. https://t.co/zeMUdwzUKg,21/03/2017 14:34
"This move down in the #SP500  looks pretty structured to me. Trap Longs, pay Shorts. #DayTrading https://t.co/V5OLT0M4kd",21/03/2017 14:33
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 14:31
"Tues 3/21/17  10:30 AM ET
#Dow $20,842 -63
#SP500 $2,367 -7
#Oil $48.21
#Gold $1,240
#Silver $17.54
#BTC $1,095
#ETH $43.41
Please Retweet",21/03/2017 14:31
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 14:26
"RT @allstarcharts: No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 14:26
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 14:25
"SP500 close short and 
pull back one more time short",21/03/2017 14:24
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 14:23
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 14:23
Genworth Financial Inc (NYSE:GNW) loses -2.4% on Monday-Top10 Worst Performer in SP500 #NYSE #GNW https://t.co/jdC514EzXB,21/03/2017 14:22
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 14:22
Frontier Communications (NASDAQ:FTR) loses -2.43% on Monday-Top10 Worst Performer in SP500 #NASDAQ #FTR https://t.co/lMOxnuU3Gd,21/03/2017 14:20
"US #Retail #Stocks #ETF XRT
Retail Stocks Testing Major Weekly Support (red) 
critical for Bulls 
#Trading… https://t.co/qw4l4BB950",21/03/2017 14:19
Rowan Companies PLC (NYSE:RDC) loses -2.53% on Monday-Top10 Worst Performer in SP500 #NYSE #RDC https://t.co/WaYm6Ntbka,21/03/2017 14:18
Allegheny Technologies Incorporated (NYSE:ATI) loses -2.55% on Monday-Top10 Worst Performer in SP500 #NYSE #ATI https://t.co/JzpU8iR5Rq,21/03/2017 14:16
$ES #SP500 #ES_F under $2370 ok go to $2340 selllll moooaaaarrrrr!!!!!!!!!,21/03/2017 14:15
The Gap (NYSE:GPS) loses -2.66% on Monday-Top10 Worst Performer in SP500 #NYSE #GPS https://t.co/loIwH55zJu,21/03/2017 14:14
