Date,Tweet
2017-03-21 14:42:00,SP500 Index ETF - SPY : Testing Daily Support Trendline (red) + below 20 DMA  $SPY Trading investing SP500Ö 
2017-03-21 14:41:00,All the three major US indexes opened higher with the Nasdaq Composite hitting yet another record high lifted by Apple. SP500 DOW
2017-03-21 14:38:00,SP500 And people think it is a good idea to chase this market higher and is risk free??? 
2017-03-21 14:37:00,SP500 hit Gap and 200 MA (green) on 1 Hour Time Frame Chart 
2017-03-21 14:34:00,$ES_F SP500 getting closer to testing its 200day moving average for first time since January 31st. 
2017-03-21 14:33:00,This move down in the SP500  looks pretty structured to me. Trap Longs pay Shorts. DayTrading 
2017-03-21 14:31:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 14:31:00,Tues 3/21/17  10:30 AM ETDow $20842 -63SP500 $2367 -7Oil $48.21Gold $1240Silver $17.54BTC $1095ETH $43.41Please Retweet
2017-03-21 14:26:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 14:26:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 14:25:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 14:24:00,SP500 close short and pull back one more time short
2017-03-21 14:23:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 14:23:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 14:22:00,Genworth Financial Inc (NYSE:GNW) loses -2.4% on Monday-Top10 Worst Performer in SP500 NYSE GNW 
2017-03-21 14:22:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 14:20:00,Frontier Communications (NASDAQ:FTR) loses -2.43% on Monday-Top10 Worst Performer in SP500 NASDAQ FTR 
2017-03-21 14:19:00,US Retail Stocks ETF XRTRetail Stocks Testing Major Weekly Support (red) critical for Bulls TradingÖ 
2017-03-21 14:18:00,Rowan Companies PLC (NYSE:RDC) loses -2.53% on Monday-Top10 Worst Performer in SP500 NYSE RDC 
2017-03-21 14:16:00,Allegheny Technologies Incorporated (NYSE:ATI) loses -2.55% on Monday-Top10 Worst Performer in SP500 NYSE ATI 
2017-03-21 14:15:00,$ES SP500 ES_F under $2370 ok go to $2340 selllll moooaaaarrrrr!!!!!!!!!
2017-03-21 14:14:00,The Gap (NYSE:GPS) loses -2.66% on Monday-Top10 Worst Performer in SP500 NYSE GPS 
2017-03-21 14:12:00,Nordstrom (NYSE:JWN) loses -3.05% on Monday-Top10 Worst Performer in SP500 NYSE JWN 
2017-03-21 14:10:00,Gamestop (NYSE:GME) loses -3.08% on Monday-Top10 Worst Performer in SP500 NYSE GME 
2017-03-21 14:09:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 14:08:00,Macy's (NYSE:M) loses -3.83% on Monday-Top10 Worst Performer in SP500 NYSE M 
2017-03-21 14:06:00,First Solar (NASDAQ:FSLR) loses -4.68% on Monday-Top10 Worst Performer in SP500 NASDAQ FSLR 
2017-03-21 14:05:00,SP500 nice algos gap thanks :)
2017-03-21 14:02:00,Us equity strategy: SP500 price scenario by Barclays 
2017-03-21 14:02:00,Micron Technology (NASDAQ:MU) gains 1.59% on Monday-Top10 Best Performer in SP500 NASDAQ MU 
2017-03-21 14:00:00,International Paper (NYSE:IP) gains 1.67% on Monday-Top10 Best Performer in SP500 NYSE IP 
2017-03-21 13:58:00,Denbury Resources (NYSE:DNR) gains 1.72% on Monday-Top10 Best Performer in SP500 NYSE DNR 
2017-03-21 13:56:00,Newmont Mining (NYSE:NEM) gains 2.19% on Monday-Top10 Best Performer in SP500 NYSE NEM 
2017-03-21 13:53:00,Intl Flavors &amp; Fragrances (NYSE:IFF) gains 2.5% on Monday-Top10 Best Performer in SP500 NYSE IFF 
2017-03-21 13:51:00,Baker Hughes (NYSE:BHI) gains 2.51% on Monday-Top10 Best Performer in SP500 NYSE BHI 
2017-03-21 13:50:00,RT americaformom: RT4MOM<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> SP500 Blooomberg Forbes Trading  TY 
2017-03-21 13:50:00,RT americaformom: RT4MOM<U+2764>us  BOYCOTT<U+261E>WRBERKLEY Acadia Insurance Financials Stocks SP500 NYSE Business  httÖ
2017-03-21 13:50:00,RT americaformom1: RT4MOM<U+2764> <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> BOYCOTT<U+261E>WRBERKLEY Insurance Financials Stocks SP500 Stockmarket Business  htÖ
2017-03-21 13:50:00,RT americaformom1: RT4Mom<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>BOYCOTT<U+261E>WRBERKLEY NASDAQ SP500 WallStreet Business Stockmarket Stocks NYSE  htÖ
2017-03-21 13:49:00,RT americaformom: RT4Mom<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>BOYCOTT<U+261E>WRBERKLEY NASDAQ SP500 WallStreet Business Stockmarket stocks NYSE  httÖ
2017-03-21 13:49:00,Caterpillar Inc (NYSE:CAT) gains 2.68% on Monday-Top10 Best Performer in SP500 NYSE CAT 
2017-03-21 13:49:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 13:47:00,NVIDIA (NASDAQ:NVDA) gains 3.19% on Monday-Top10 Best Performer in SP500 NASDAQ NVDA 
2017-03-21 13:45:00,CF Industries (NYSE:CF) gains 3.76% on Monday-Top10 Best Performer in SP500 NYSE CF 
2017-03-21 13:43:00,CONSOL Energy (NYSE:CNX) gains 4.17% on Monday-Top10 Best Performer in SP500 NYSE CNX 
2017-03-21 13:43:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
