Date,Tweet
2017-03-21 14:41:00,All the three major US indexes opened higher with the Nasdaq Composite hitting yet another record high lifted by Apple. SP500 DOW
2017-03-21 14:38:00,SP500 And people think it is a good idea to chase this market higher and is risk free??? 
2017-03-21 14:37:00,SP500 hit Gap and 200 MA (green) on 1 Hour Time Frame Chart 
2017-03-21 14:34:00,$ES_F SP500 getting closer to testing its 200day moving average for first time since January 31st. 
2017-03-21 14:33:00,This move down in the SP500  looks pretty structured to me. Trap Longs pay Shorts. DayTrading 
2017-03-21 14:31:00,Tues 3/21/17  10:30 AM ETDow $20842 -63SP500 $2367 -7Oil $48.21Gold $1240Silver $17.54BTC $1095ETH $43.41Please Retweet
2017-03-21 14:24:00,SP500 close short and pull back one more time short
2017-03-21 14:15:00,$ES SP500 ES_F under $2370 ok go to $2340 selllll moooaaaarrrrr!!!!!!!!!
2017-03-21 14:12:00,Nordstrom (NYSE:JWN) loses -3.05% on Monday-Top10 Worst Performer in SP500 NYSE JWN 
2017-03-21 14:05:00,SP500 nice algos gap thanks :)
2017-03-21 14:02:00,Us equity strategy: SP500 price scenario by Barclays 
2017-03-21 14:02:00,Micron Technology (NASDAQ:MU) gains 1.59% on Monday-Top10 Best Performer in SP500 NASDAQ MU 
2017-03-21 14:00:00,International Paper (NYSE:IP) gains 1.67% on Monday-Top10 Best Performer in SP500 NYSE IP 
2017-03-21 13:51:00,Baker Hughes (NYSE:BHI) gains 2.51% on Monday-Top10 Best Performer in SP500 NYSE BHI 
2017-03-21 13:49:00,Caterpillar Inc (NYSE:CAT) gains 2.68% on Monday-Top10 Best Performer in SP500 NYSE CAT 
2017-03-21 13:45:00,CF Industries (NYSE:CF) gains 3.76% on Monday-Top10 Best Performer in SP500 NYSE CF 
2017-03-21 13:32:00,SP500 short 22377 next 2381 and close small gap
2017-03-21 13:28:00,RT EPAtrader: Mellow SP500 Waves...  $spy 
2017-03-21 13:25:00,SP500 open gap resistance 2376 2381 and algos close gap
2017-03-21 13:21:00,RT ToptraderYudee: My TechnicalAnalysis work shows the SP500 is setting up for another move to the upsid heading up to 2425.
2017-03-21 13:21:00,My TechnicalAnalysis work shows the SP500 is setting up for another move to the upsid heading up to 2425.
2017-03-21 12:37:00,RT Stonewoodforge: Despite Financial Engineering &amp; Reporting Schemes S&amp;P 500 Earnings per Share Stuck for 3+ Years but Stocks Soar  
2017-03-21 12:33:00,The S&amp;P 500 and Dow have now gone 109 days without a 1% decline sp500 dowjones stocks investments MarketWatch  
2017-03-21 12:32:00,TommyThornton what do u <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>?
2017-03-21 12:22:00,RT IWBank_it: WallStreet Futures h 12:52 SP500 2.37475<U+25B2>019% Nasdaq 5.43025<U+25B2>022% DowJones 20.885<U+25B2>008% USA
2017-03-21 12:14:00,$SPY No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 12:03:00,Very good piece I am exhausted by this media falsehood--No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 12:03:00,Tuesday March 21 2017 TODAY's stock trends:  nasdaq wallstreet nyse sp500 bloomberg foxbusiness cnbc wsj
2017-03-21 12:00:00,A technical analyst explains why This Is Not An 8-Year Bull Market For The S&amp;P 500 
2017-03-21 11:39:00,The Equity Markets Would Like to Rally but Washington is a Barrier - stocks SP500 nasdaq - 
2017-03-21 11:34:00,RT DaveAurelio: The Week in Earnings | Feb. 24 | 3 $SPX companies expected to miss Q4 earnings next week. Lipper_Alpha $SPY SP500 
2017-03-21 11:30:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 11:28:00,The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 11:15:00,$COST:US  Costco Sues Titleist In Battle Over Golf Balls COSTCO WHOLESALE CORP   SP500
2017-03-21 11:14:00,$RHT:US IBM Red Hat collaborates to accelerate Cloud adoption RED HAT INC   SP500
2017-03-21 10:43:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 09:45:00,RT penelopelmf: Valudaily: Technicals to watch for DAX30 and SP500:  broker forex trading mt4 httÖ
2017-03-21 09:45:00,RT Valutrades: Valudaily: Technicals to watch for DAX30 and SP500:  broker forex trading mt4 
2017-03-21 09:32:00,Valudaily: Technicals to watch for DAX30 and SP500:  broker forex tradingÖ 
2017-03-21 09:10:00,DA_Stockman Shouldn't the title be: Net Hoovering of Equities?   GAAP EPS are flat back to 2012 for SP500 so it didn't totally suck!!
2017-03-21 09:08:00,SP500 still in uptrend; Support at 2365 then 2354
2017-03-21 08:44:00,Market Update  Weidmann Evans Brexit FBI BNP Porsche Nike SP500Ö 
2017-03-21 08:39:00,Based on the latest 21-year period 21st of March is regarded as a very Bearish day. Maybe the -1% decline-day is coming today?  SP500
2017-03-21 08:02:00,SP500 Technical Profile Status for 21MAR2017 GMT0800 stocks $ES_F 
2017-03-21 07:26:00,Adobe Adobe US Stock long bias at weekly and daily demand levels. adobe nasdaq SP500 dowjones StockMarket 
2017-03-21 06:30:00,DailyDAX ñ Di 21.03.2017  dailydax dax dowjones sp500 nasdaq indizes boerse trading finanzen aktien /SS
2017-03-21 06:15:00,Trade Cash CFDs &amp; Indices with HydraMarkets  DAX FTSE SP500 Nasdaq EUR50 FRA40 
2017-03-21 05:03:00,Gradual &amp; less rife Fed dulls Yields USD &amp; Banks. TelcosResources<U+2191>. $CAT+2.6% can't buoy Industrials.NASDAQ+0.01% DJIA SP500 -0.04% -0.20%
2017-03-21 05:02:00,RT trading: Oil surges so energy stocks advance banks up due to potential interest rate rise but biotech DOWN.
2017-03-21 04:48:00,RT JarmoKuismanen: $FSLR and $SPWR are delisted today from SP500 -index= $SPY is selling with very high volume (have to)= most likely vÖ
2017-03-21 03:30:00,RT IchimokuCo: FREE Chart of the Day Ichimoku Candlestick and Fibonacci analysis for March 20th 2017 - 
2017-03-21 03:30:00,RT ichimokucharts: FREE Chart of the Day Ichimoku Candlestick and Fibonacci analysis for March 20th 2017 - 
2017-03-21 03:06:00,RT 18dMedia: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P 500 Earnings Stagnate for 3+ YearsÖ  18DMediÖ
2017-03-21 02:54:00,RT FXTraderHub: FREE Chart of the Day Ichimoku Candlestick and Fibonacci analysis for March 20th 2017 - 
2017-03-21 02:53:00,RT wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
2017-03-21 02:51:00,Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
2017-03-21 02:20:00,BlackRock Warns Caution on Financial Stocksms ms gs WFC bac sp500  
2017-03-21 02:19:00,[$$] SoftBank Drops $100 Million Investment in iPhone Rival nyse dowjones sp500 
2017-03-21 01:50:00,Night time rally in the SP500 futures. First needs to exceed rally high of today and then exceed rally peak made onÖ 
2017-03-21 01:15:00,Stocks MIXED Bonds &amp; Gold UP!  stocks business trading investing finance stockmarket wallstreet sp500 $spy
2017-03-21 00:44:00,Allís Well? Dow Dips as Fed Freezes Market  ben_levisohn SP500
2017-03-21 00:08:00,24/7 Wall Street Mondayís Biggest Winner and Loser in the S&amp;P500 
2017-03-21 00:06:00,dmwlsw TFMkts not yet. Depends what you look at. Sp500  not a good measure for this sector driven tape.
2017-03-20 23:40:00,$SPY SP500 tomorrow watch 2373/5 resistance &amp; 2360/2 support. I think we will be in this range. Remember Trump speaks in Kentucky tonight
2017-03-20 22:55:00,Dow -8.76 (-0.04%) S&amp;P 500 -4.78 (-0.20%) Nasdaq +0.53 (+0.01%) ASX ausbiz DOWJONES SP500 Nasdaq
2017-03-20 22:23:00,earnings economy stocks S&amp;P500 Earnings Trends - March 2017  
2017-03-20 21:42:00,USclose Dow 20905.86 (down 8.76 0.0%) sp500 2373.47 (down 4.78 0.2%) Nasdaq 5901.53 (up 0.53 0.0%). Need advice? 1300 582 256
2017-03-20 21:38:00,RT EagleStarNET: Monday's Biggest Winner and Loser in the S&amp;P500 
2017-03-20 21:35:00,Free for a limited time! Stop losing on trades... use us to calculate profits! stocks forex free limitedÖ 
2017-03-20 21:12:00,Monday's Biggest Winner and Loser in the S&amp;P500 
2017-03-20 21:05:00,29 % of SP500 stocks ended positive today
2017-03-20 21:05:00,Today 1.7 billion shares of SP500 companies were traded; -48% lower volume than previous trading day $SPY stocks stockmarket
2017-03-20 21:05:00,Today $98.6 billion worth of SP500 stocks were traded; -46% lower than previous trading day $SPY stocks stockmarket
2017-03-20 20:57:00,FED on slower rate rise suggest sp500 shares do well . asx200 equities analysis ausbiz auspol 
2017-03-20 20:45:00,SP500 | 2017-03-20 1 | Elliott Wave Analysis on H1 Chart 
2017-03-20 20:33:00,RT Pxlktx: SP500 : Bought (position opened) Puts SPDR Strike= 236  03/20/17 Premium = 057 USD- Correction still in play   - Pxl 
2017-03-20 20:29:00,$KSS:Mondayís Biggest Winner and Loser in the S&amp;P500:
2017-03-20 20:19:00,Stock market: Brace for more recordsstocks sp500 dow21k finance investing investor economics  
2017-03-20 19:59:00,Out of $PI. Holding only $IBIO a bit of $CARA and a whole lot of cash. Still not trusting the SP500. Will see how it goes tomorrow.
2017-03-20 19:42:00,economy stocks earnings S&amp;P500 Earnings Estimates For 2016 2017 2018 - my latest  post  
2017-03-20 19:28:00,RT ozgurhatipoglu: Agreed I think shorting SP500 via puts is a relatively safe bet. 
